Datos que encuentra el metodo de Runge Kutta(variable ind.	 variable dep.	 numero de thread)
0.036191	 0.822398 	 numero de thread:2
0.036254	 0.822464 	 numero de thread:2
0.036317	 0.822529 	 numero de thread:2
0.036380	 0.822595 	 numero de thread:2
0.036442	 0.822660 	 numero de thread:2
0.036505	 0.822726 	 numero de thread:2
0.036568	 0.822792 	 numero de thread:2
0.036631	 0.822857 	 numero de thread:2
0.036694	 0.822923 	 numero de thread:2
0.036757	 0.822989 	 numero de thread:2
0.036819	 0.823054 	 numero de thread:2
0.036882	 0.823120 	 numero de thread:2
0.036945	 0.823185 	 numero de thread:2
0.037008	 0.823251 	 numero de thread:2
0.037071	 0.823317 	 numero de thread:2
0.037134	 0.823382 	 numero de thread:2
0.037196	 0.823448 	 numero de thread:2
0.037259	 0.823514 	 numero de thread:2
0.037322	 0.823579 	 numero de thread:2
0.037385	 0.823645 	 numero de thread:2
0.037448	 0.823711 	 numero de thread:2
0.037511	 0.823777 	 numero de thread:2
0.037573	 0.823842 	 numero de thread:2
0.037636	 0.823908 	 numero de thread:2
0.037699	 0.823974 	 numero de thread:2
0.037762	 0.824039 	 numero de thread:2
0.037825	 0.824105 	 numero de thread:2
0.037888	 0.824171 	 numero de thread:2
0.037950	 0.824236 	 numero de thread:2
0.038013	 0.824302 	 numero de thread:2
0.038076	 0.824368 	 numero de thread:2
0.038139	 0.824434 	 numero de thread:2
0.038202	 0.824499 	 numero de thread:2
0.038265	 0.824565 	 numero de thread:2
0.038327	 0.824631 	 numero de thread:2
0.038390	 0.824697 	 numero de thread:2
0.038453	 0.824762 	 numero de thread:2
0.038516	 0.824828 	 numero de thread:2
0.038579	 0.824894 	 numero de thread:2
0.038642	 0.824960 	 numero de thread:2
0.038704	 0.825026 	 numero de thread:2
0.038767	 0.825091 	 numero de thread:2
0.038830	 0.825157 	 numero de thread:2
0.038893	 0.825223 	 numero de thread:2
0.038956	 0.825289 	 numero de thread:2
0.039019	 0.825354 	 numero de thread:2
0.039081	 0.825420 	 numero de thread:2
0.039144	 0.825486 	 numero de thread:2
0.039207	 0.825552 	 numero de thread:2
0.039270	 0.825618 	 numero de thread:2
0.039333	 0.825684 	 numero de thread:2
0.039396	 0.825749 	 numero de thread:2
0.039458	 0.825815 	 numero de thread:2
0.039521	 0.825881 	 numero de thread:2
0.039584	 0.825947 	 numero de thread:2
0.039647	 0.826013 	 numero de thread:2
0.039710	 0.826079 	 numero de thread:2
0.039773	 0.826144 	 numero de thread:2
0.039835	 0.826210 	 numero de thread:2
0.039898	 0.826276 	 numero de thread:2
0.039961	 0.826342 	 numero de thread:2
0.040024	 0.826408 	 numero de thread:2
0.040087	 0.826474 	 numero de thread:2
0.040150	 0.826540 	 numero de thread:2
0.040212	 0.826606 	 numero de thread:2
0.040275	 0.826671 	 numero de thread:2
0.040338	 0.826737 	 numero de thread:2
0.040401	 0.826803 	 numero de thread:2
0.040464	 0.826869 	 numero de thread:2
0.040527	 0.826935 	 numero de thread:2
0.040589	 0.827001 	 numero de thread:2
0.040652	 0.827067 	 numero de thread:2
0.040715	 0.827133 	 numero de thread:2
0.040778	 0.827199 	 numero de thread:2
0.040841	 0.827265 	 numero de thread:2
0.040904	 0.827331 	 numero de thread:2
0.040966	 0.827397 	 numero de thread:2
0.041029	 0.827462 	 numero de thread:2
0.041092	 0.827528 	 numero de thread:2
0.041155	 0.827594 	 numero de thread:2
0.041218	 0.827660 	 numero de thread:2
0.041281	 0.827726 	 numero de thread:2
0.041343	 0.827792 	 numero de thread:2
